Ainola,AIN,4,,Sm2,SOUTH,4,2,A0,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm2,SOUTH,4,3,A0,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm2,SOUTH,4,4,A0,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm4,NORTH,4,1,C1,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm4,NORTH,4,2,C4,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm4,NORTH,4,3,C4,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm4,NORTH,4,4,D4,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm4,SOUTH,4,1,A4,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm4,SOUTH,4,2,A0,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm4,SOUTH,4,3,A0,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm4,SOUTH,4,4,A0,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm5,NORTH,6,1,C1,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm5,NORTH,6,2,C4,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm5,NORTH,6,3,D4,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm5,SOUTH,6,1,A4,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm5,SOUTH,6,2,A0,2025-04-29 23:00:00,2999-04-29 23:00:00,
Ainola,AIN,4,,Sm5,SOUTH,6,3,A0,2025-04-29 23:00:00,2999-04-29 23:00:00,
Aviapolis,AVP,1,,Sm5,NORTH,6,1,C4,2000-01-01 00:00:00,2999-01-01 00:00:00,
Aviapolis,AVP,1,,Sm5,NORTH,6,2,C4,2000-01-01 00:00:00,2999-01-01 00:00:00,
